,EPI300_96w,,EPI300_ara_96w,,EPI300_pCC1_96w,,EPI300_pCC1_ara_96w,,EPI300_pCC1_ATF1_96w,,EPI300_pCC1_ATF1_ara_96w,,EPI300_pCC1_ATF1_iAAl_96w,,EPI300_pCC1_ATF1_ara_iAAl_96w,
,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD
0,0.03075,0.007,0.028416667,0.003785939,0.023083333,0.002516611,0.02475,0.003464102,0.024416667,0.004041452,0.02375,0.002645751,0.02575,0.003,0.024083333,0.002081666
1,0.072416667,0.002309401,0.07275,0.002645751,0.06375,0.012165525,0.060416667,0.005507571,0.055083333,0.002886751,0.054416667,0.001527525,0.058416667,0.004163332,0.05975,0.002645751
2,0.16775,0.003605551,0.171083333,0.002516611,0.15075,0.012165525,0.14475,0.003464102,0.134083333,0.003785939,0.13075,0.001,0.134083333,0.004041452,0.136083333,0.001527525
3,0.241416667,0.005131601,0.232416667,0.00321455,0.21075,0.009539392,0.198083333,0.004618802,0.194416667,0.006658328,0.183416667,0.002516611,0.196083333,0.007505553,0.18675,0.002
4,0.30775,0.002645751,0.287083333,0.003785939,0.281416667,0.008504901,0.248083333,0.008082904,0.254416667,0.007571878,0.234083333,0.006110101,0.263416667,0.006110101,0.23675,0.001732051
5,0.358083333,0.002309401,0.328083333,0.004725816,0.32575,0.009165151,0.28975,0.008660254,0.303083333,0.007505553,0.277083333,0.006806859,0.315083333,0.004725816,0.28075,0.004582576
6,0.398416667,0.006429101,0.364416667,0.00321455,0.363416667,0.00305505,0.321416667,0.006658328,0.339416667,0.010016653,0.305083333,0.011372481,0.348416667,0.005033223,0.311416667,0.006658328
7,0.426416667,0.006027714,0.39175,0.004582576,0.405416667,0.010016653,0.35075,0.006244998,0.366083333,0.008082904,0.330083333,0.008736895,0.374416667,0.007637626,0.335416667,0.009291573
8,0.452083333,0.005131601,0.415416667,0.007571878,0.441416667,0.0090185,0.390416667,0.010214369,0.39175,0.009643651,0.348416667,0.011676187,0.397416667,0.016502525,0.356416667,0.007094599
9,0.477416667,0.006027714,0.43675,0.005291503,0.46175,0.005291503,0.419416667,0.009291573,0.411416667,0.014571662,0.37175,0.01,0.420083333,0.0140119,0.37675,0.008
10,0.501083333,0.006110101,0.456083333,0.002516611,0.483083333,0.004932883,0.439083333,0.007505553,0.432416667,0.008326664,0.38675,0.012489996,0.44075,0.024248711,0.391416667,0.005859465
11,0.52575,0.006082763,0.473416667,0.005507571,0.501083333,0.003785939,0.456083333,0.008020806,0.45375,0.010816654,0.406083333,0.011718931,0.467416667,0.025716402,0.40975,0.010440307
12,0.55175,0.00781025,0.49075,0.002645751,0.518083333,0.005859465,0.472083333,0.012220202,0.473416667,0.014153916,0.42375,0.016822604,0.48775,0.024020824,0.426416667,0.008386497
13,0.574083333,0.007571878,0.510083333,0.002309401,0.538083333,0.002516611,0.487416667,0.016196707,0.492416667,0.010785793,0.43575,0.012489996,0.509083333,0.026857649,0.44275,0.005
14,0.600083333,0.003511885,0.52675,0.005291503,0.555083333,0.00450925,0.500083333,0.012503333,0.514416667,0.010785793,0.477416667,0.048438965,0.53275,0.027221315,0.462416667,0.002081666
15,0.623083333,0.00321455,0.54275,0.005567764,0.57375,0.005,0.515416667,0.018339393,0.53775,0.013076697,0.46675,0.014,0.55075,0.026457513,0.47475,0.005291503
16,0.646083333,0.005033223,0.55975,0.003464102,0.592083333,0.005859465,0.528083333,0.018770544,0.559083333,0.01530795,0.485083333,0.016010413,0.574083333,0.025006666,0.488416667,0.004041452
17,0.671083333,0.006027714,0.57775,0.003,0.61575,0.008888194,0.54775,0.022605309,0.577416667,0.012423097,0.500416667,0.018036999,0.593416667,0.028005952,0.505083333,0.002886751
18,0.690083333,0.004725816,0.590083333,0.002081666,0.631083333,0.012342339,0.563083333,0.033709544,0.60575,0.015716234,0.521083333,0.015011107,0.617083333,0.030171731,0.52075,0.002645751
19,0.714083333,0.005033223,0.606416667,0.004725816,0.658416667,0.012583057,0.575083333,0.022368132,0.626083333,0.015373137,0.534416667,0.019218047,0.63675,0.030512293,0.53475,0.004358899
23,0.79175,0.006,0.652416667,0.008144528,0.75775,0.036055513,0.653083333,0.03442867,0.726416667,0.007234178,0.602416667,0.029838454,0.72675,0.010535654,0.60775,0.004582576
