,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,,
Tubes,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,20,,,,,
,EPI300,0.071,0.129,0.248,0.408,0.511,0.672,0.759,0.838,0.907,0.963,1.022,1.09,1.087,1.154,1.195,1.385,,,,,
,,0.065,0.091,0.156,0.326,0.454,0.589,0.69,0.779,0.847,0.917,0.97,1.031,1.08,1.12,1.152,1.318,,,,,
,,0.076,0.112,0.227,0.399,0.503,0.633,0.725,0.812,0.897,0.951,1.028,1.066,1.108,1.159,1.181,1.374,,,,,
,EPI300_ara,0.041,0.088,0.193,0.335,0.432,0.563,0.648,0.729,0.802,0.872,0.925,0.969,1.002,1.041,1.077,1.176,,,,,
,,0.065,0.09,0.2,0.352,0.473,0.595,0.667,0.735,0.823,0.867,0.923,0.979,1.02,1.043,1.074,1.162,,,,,
,,0.03,0.093,0.195,0.336,0.456,0.584,0.658,0.735,0.805,0.855,0.926,0.963,0.992,1.033,1.046,1.16,,,,,
,EPI300_pCC1,0.074,0.146,0.245,0.37,0.521,0.617,0.729,0.838,0.891,0.975,1.023,1.056,1.118,1.149,1.175,1.386,,,,,
,,0.058,0.142,0.244,0.378,0.505,0.615,0.669,0.794,0.855,0.931,0.976,1.029,1.053,1.109,1.127,1.328,,,,,
,,0.042,0.1,0.195,0.324,0.44,0.543,0.627,0.721,0.803,0.866,0.914,0.964,0.997,1.037,1.071,1.283,,,,,
,EPI300_pCC1_ara,0.035,0.092,0.192,0.326,0.416,0.536,0.628,0.712,0.789,0.851,0.918,0.972,1.007,1.043,1.079,1.216,,,,,
,,0.048,0.131,0.215,0.344,0.463,0.563,0.674,0.743,0.849,0.891,0.952,1.029,1.048,1.088,1.106,1.257,,,,,
,,0.041,0.113,0.215,0.362,0.439,0.558,0.652,0.725,0.805,0.889,0.911,0.974,1.012,1.061,1.071,1.229,,,,,
,EPI300_pCC1_ATF1,0.049,0.129,0.207,0.354,0.453,0.579,0.678,0.772,0.833,0.916,0.958,1.012,1.045,1.085,1.123,1.331,,,,,
,,0.041,0.104,0.19,0.31,0.42,0.548,0.634,0.723,0.816,0.89,0.952,1,1.043,1.088,1.121,1.341,,,,,
,,0.031,0.082,0.173,0.299,0.411,0.556,0.643,0.726,0.817,0.884,0.931,0.975,1.023,1.074,1.107,1.325,,,,,
,EPI300_pCC1_ATF1_ara,0.057,0.138,0.245,0.34,0.48,0.569,0.7,0.724,0.793,0.873,0.923,1.023,1.03,1.063,1.096,1.223,,,,,
,,0.041,0.132,0.218,0.35,0.478,0.586,0.676,0.743,0.821,0.884,0.968,0.994,1.047,1.093,1.143,1.255,,,,,
,,0.057,0.136,0.208,0.311,0.404,0.536,0.604,0.667,0.736,0.812,0.864,0.916,0.953,0.964,1.005,1.174,,,,,
,EPI300_pCC1_ATF1_iAAl,0.034,0.095,0.195,0.306,0.405,0.524,0.594,0.706,0.772,0.832,0.884,0.929,0.982,1.031,1.063,1.32,,,,,
,,0.043,0.094,0.198,0.331,0.436,0.562,0.63,0.668,0.721,0.783,0.83,0.876,0.911,0.937,0.99,1.261,,,,,
,,0.038,0.101,0.204,0.334,0.441,0.562,0.632,0.703,0.774,0.834,0.881,0.936,0.984,1.027,1.054,1.309,,,,,
,EPI300_pCC1_ATF1_ara_iAAl,0.043,0.095,0.187,0.302,0.393,0.503,0.576,0.645,0.716,0.786,0.847,0.89,0.934,0.984,1.011,1.177,,,,,
,,0.056,0.125,0.282,0.37,0.475,0.556,0.643,0.686,0.765,0.799,0.876,0.919,0.945,0.98,1.012,1.224,,,,,
,,0.059,0.114,0.219,0.34,0.427,0.536,0.606,0.663,0.726,0.797,0.865,0.907,0.913,0.951,0.985,1.203,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
96 well plate,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22
,EPI300,0.03075,0.07375,0.16675,0.24275,0.30575,0.35675,0.39575,0.42575,0.45075,0.47675,0.49975,0.52275,0.54775,0.56875,0.59975,0.62075,0.64075,0.66475,0.68475,0.70875,0.78575
