"strain","hour","avg_t","sd_t","avg_w","sd_w","unpaired_t","unpaired_df","unpaired_p","paired_t","paired_df","paired_p","unpaired_p_BH","paired_p_BH"
"EPI300",0,0.0706666666666667,0.0055075705472861,0.03075,0.007,7.76223958953717,3.79016393442623,0.00184538722691451,45.2612456428549,2,0.000487785786549328,0.00330517115268271,0.00254496932112693
"EPI300",1,0.110666666666667,0.019035055380359,0.0724166666666667,0.0023094010767585,3.4551343402474,2.05886489116409,0.0715094618985691,3.89711431702997,2,0.0599806578392317,0.0739753054123128,0.064264990542034
"EPI300",2,0.210333333333333,0.0482113402980391,0.16775,0.00360555127546399,1.52559745340833,2.0223713064983,0.265301031444819,1.59240264797813,2,0.252298040646354,0.265301031444819,0.254418192248424
"EPI300",3,0.377666666666667,0.0449703606093317,0.241416666666667,0.00513160143944689,5.21388547759837,2.05207622057801,0.0330216345984018,5.85784503284574,2,0.0279272913934097,0.035380322784002,0.0322237977616266
"EPI300",4,0.489333333333333,0.0308598984660244,0.30775,0.00264575131106459,10.1543433488543,2.02939988165956,0.00910000206456861,10.3336313833749,2,0.00923517784360134,0.0113750025807108,0.0120623380205547
"EPI300",5,0.631333333333333,0.0415250928154693,0.358083333333333,0.00230940107675851,11.3799299829753,2.01237181282566,0.00746644721143215,11.401924456497,2,0.00760444864526827,0.009634125434106,0.0104888946831286
"EPI300",6,0.724666666666667,0.0345012077083301,0.398416666666667,0.00642910050732864,16.1014339076874,2.13872939217071,0.00286175026388395,16.5985224323436,2,0.00360997742122762,0.00436003588621796,0.00609915410973121
"EPI300",7,0.809666666666667,0.0295691280448601,0.426416666666667,0.00602771377334171,21.996980546986,2.165935336716,0.001380041999524,24.3856135410467,2,0.00167740843222615,0.00258757874910751,0.00402578023734275
"EPI300",8,0.883666666666667,0.0321455025366432,0.452083333333333,0.00513160143944689,22.9636360818858,2.10186932711025,0.0014706827437105,25.5448800401007,2,0.00152895727253176,0.00268280675297756,0.00382239318132939
"EPI300",9,0.943666666666667,0.0238607068908977,0.477416666666667,0.00602771377334171,32.8142615888482,2.25423391467476,0.000455124638416201,39.3584896388421,2,0.000644915579413276,0.0012136657024432,0.00259721977197162
"EPI300",10,1.00666666666667,0.0318956632370819,0.501083333333333,0.00611010092660779,26.9647107638906,2.14659157770867,0.000934734505065377,32.2493853937258,2,0.000960132773497188,0.00200300251085438,0.00287369031692702
"EPI300",11,1.06233333333333,0.0296704117486316,0.52575,0.00608276253029816,30.6855716991137,2.16782168312866,0.000668816456088583,31.8903086026272,2,0.000981844191616733,0.00162013949161263,0.00287369031692702
"EPI300",12,1.09166666666667,0.014571661996263,0.55175,0.00781024967590666,56.5641235786386,3.06152648329683,1.004544965822e-05,133.142629843926,2,5.64064790435905e-05,7.09090564109649e-05,0.00135375549704617
"EPI300",13,1.14433333333333,0.0212210587231959,0.574083333333333,0.00757187779440037,43.8365731938098,2.50112978054061,0.000112553384321656,52.7196311495731,2,0.000359601061923668,0.000450213537286623,0.00239734041282446
"EPI300",14,1.176,0.0219317121994614,0.600083333333333,0.00351188458428425,44.9107227196656,2.10249671484888,0.000359242985085107,49.7929272094244,2,0.000403090007493888,0.00100253856302821,0.00254496932112693
"EPI300_ara",0,0.0453333333333333,0.0178978583448784,0.0284166666666667,0.00378593889720018,1.60165579786068,2.17862260501205,0.240255231218958,1.50242646278399,2,0.271839949974821,0.242274182741806,0.271839949974821
"EPI300_ara",1,0.0903333333333333,0.00251661147842359,0.07275,0.00264575131106459,8.34050732869411,3.99002493765586,0.0011417675419219,9.96881297561838,2,0.00991328438976748,0.00228353508384379,0.0125220434397063
