"strain","hour","avg_t","sd_t","avg_w","sd_w","t_stat","df","p_raw","p_adj_strain","p_adj_overall","significant_raw","significant_adj"
"EPI300",0,0.071,0.006,0.03075,0.007,7.56165831485318,3.90857451988098,0.00179713564592912,0.00299522607654854,0.00326751935623477,TRUE,TRUE
"EPI300",1,0.111,0.019,0.072416667,0.002309401,3.49158122826634,2.05908220671316,0.0701388481050723,0.0751487658268632,0.0725574290742127,FALSE,FALSE
"EPI300",2,0.21,0.048,0.16775,0.003605551,1.52028259653386,2.02256872249281,0.266475517817982,0.266475517817982,0.266475517817982,FALSE,FALSE
"EPI300",3,0.378,0.045,0.241416667,0.005131601,5.22324281710398,2.05200765713992,0.0329091308029343,0.0379720740033857,0.0355774387058749,TRUE,TRUE
"EPI300",4,0.489,0.031,0.30775,0.002645751,10.0902276422027,2.02913476365998,0.00922006873866556,0.0115250859233319,0.0115250859233319,TRUE,TRUE
"EPI300",5,0.631,0.042,0.358083333,0.002309401,11.2379179387937,2.01209361502612,0.00765906134758469,0.0104441745648882,0.0098666248270013,TRUE,TRUE
"EPI300",6,0.725,0.035,0.398416667,0.006429101,15.8957353610563,2.13481252451148,0.002965051847352,0.004447577771028,0.00450387622382582,TRUE,TRUE
"EPI300",7,0.81,0.03,0.426416667,0.006027714,21.7122641003945,2.16121874462809,0.00143540850511765,0.00272146340730284,0.00272146340730284,TRUE,TRUE
"EPI300",8,0.884,0.032,0.452083333,0.005131601,23.083253296875,2.10279658428571,0.00145144715056151,0.00272146340730284,0.00272146340730284,TRUE,TRUE
"EPI300",9,0.944,0.024,0.477416667,0.006027714,32.6584746546815,2.25131487115372,0.000463744054723496,0.00173904020521311,0.00120976709927869,TRUE,TRUE
"EPI300",10,1.007,0.032,0.501083333,0.006110101,26.8976112288923,2.14563975100388,0.000942060528826225,0.00235515132206556,0.00201870113319905,TRUE,TRUE
"EPI300",11,1.062,0.03,0.52575,0.006082763,30.3429733591178,2.16416700724527,0.000692085700068257,0.00207625710020477,0.00165855938044473,TRUE,TRUE
